job_id,state,zombie_head,since_id_str,query,description,last_count,last_run,analysis_state
13,0,4,0,q=%23london2012,couple with 2116 and 1166,0,07/27/2012 19:14:52,2
14,0,3,0,q=%23olympics,coupld with 2064,,,2
17,0,1,0,q=PSU,,,,2
18,0,1,0,q=%23PSUCharges,,,,2
19,0,4,0,q=pennstate,taking off of collection for now due to miscellaneous collection,,,2
20,0,4,0,q=%23sandusky,,,,2
21,0,3,0,q=joepa,taking off of collection for now,,,2
22,0,2,0,q=proudPSUforRainn,taking off of collection for now,,,2
23,0,3,0,q=westillare,taking off of collection right now due to limited tweets and redundancy with other hashtags,,,2
24,18,3,288299018910584832,q=%23GOP2012,hashtag for primary season for GOP,0,01/07/2013 15:00:32,2
25,102,3,288283409028091905,q=%40newtgingrich,,6,01/07/2013 14:30:32,2
26,0,2,0,q=%23IACaucus,archive,,,2
27,20,3,288299018910584832,q=%23Election2012,general election hashtag,0,01/07/2013 15:00:32,2
28,30,3,288299018910584832,q=%23Campaign2012,general election hashtag,0,01/07/2013 15:00:32,2
29,0,1,0,q=%232012,"being used for the election, TURNED OFF BECAUSE OF TOO MUCH MISCELLANEOUS STUFF",,,2
30,2,1,288302796091047936,q=%23GOP,self-explanatory,11,01/07/2013 15:16:01,2
31,1,3,288303015075672064,q=%23tcot,top conservatives on twitter,28,01/07/2013 15:16:32,2
32,4,3,288302990148907009,q=%23tlot,top liberatarians on twitter,27,01/07/2013 15:16:33,2
33,102,1,288291342533132290,q=%23president2012,,0,01/07/2013 14:30:01,2
34,180,3,288291883711594497,q=%23defeatobama,being used by some for the GOP campaign,14,01/07/2013 15:00:34,2
35,0,4,0,q=%23IAGOP,hashtag for Iowa GOP primary,,,2
36,0,2,0,q=%23IowaCaucus,archive,,,2
37,0,2,0,q=%23FITN,first in the nation (hashtag for new hampshire primary) --appears to be most active as of dec 22,,,2
38,0,4,0,q=%23NHPrimary,archive,,,2
39,0,4,0,q=%23NHGOP,general New Hampshire GOP tag,,,2
40,0,4,0,q=%23IACaucuses,archive,,,2
41,0,4,0,q=%23SCGOP,general hashtag for SC GOP,,,2
42,120,2,288283855738257408,q=%23decision2012,general election hashtag,0,01/07/2013 14:00:16,2
43,36,2,288295457984217088,q=%40MittRomney,,5,01/07/2013 15:00:16,2
44,0,1,278100693099900928,q=%40Newt2012HQ,,0,12/10/2012 11:36:02,2
45,47,3,288291443259346944,q=%40THEHermanCain,,1,01/07/2013 14:56:33,2
46,0,3,0,q=%40Herman_Cain2012,,,,2
47,40,1,288293754505400320,q=%40GovernorPerry,,2,01/07/2013 14:40:02,2
48,2754,4,287407745265704960,q=%40TeamRickPerry,,8,01/06/2013 04:30:47,2
49,8412,4,286710614020198400,q=%40PerryTruthTeam,,0,01/03/2013 05:48:46,2
50,114,1,288281727460339712,q=%40RonPaul,,1,01/07/2013 14:30:01,2
51,24,4,288300833068707842,q=%40RepRonPaul,,2,01/07/2013 15:12:46,2
52,156,1,288274733307412482,q=%40RonPaulcom,,0,01/07/2013 13:24:02,2
53,153,2,288278570634199040,q=%40RonPaul_2012,,0,01/07/2013 13:39:16,2
54,15,1,288301563410268160,q=%40RickSantorum,,3,01/07/2013 15:15:02,2
55,6060,4,287230845960482816,q=%40SenatorSantorum,,0,01/04/2013 17:00:46,2
56,6072,3,287818858423791616,q=%40Santorum2012,,0,01/06/2013 07:12:32,2
57,2046,1,287918388163002368,q=%40Jon2012Girls,Jon Huntsmans daughters campaign account,0,01/06/2013 13:48:02,2
58,132,2,288265459562840064,q=%40JonHuntsman,,1,01/07/2013 14:00:16,2
59,2688,3,287975895476604928,q=%40Jon2012HQ,,0,01/06/2013 17:36:33,2
60,150,2,288291406978633728,q=%40TeamBachmann,,0,01/07/2013 14:30:16,2
61,2976,4,287200323251077120,q=%40MBachmann_2012,taken off of collection since there was no activity,1,01/05/2013 19:12:47,2
62,1,1,288302837941825536,q=%40BarackObama,,20,01/07/2013 15:16:02,2
63,186,2,288292900247334913,q=%40President,,0,01/07/2013 14:36:16,2
64,108,2,288280837458370560,q=%40BarackObamaUSA,,0,01/07/2013 13:48:17,2
